,id,text,aspect,polarity
0,3121, but the staff was so horrible to us .,service,negative
1,2777," to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",food,positive
2,2777," to be completely fair , the only redeeming factor was the food , which was above average , but could n't make up for all the other deficiencies of teodora .",anecdotes/miscellaneous,negative
3,1634," the food is uniformly exceptional , with a very capable kitchen which will proudly whip up whatever you feel like eating , whether it 's on the menu or not .",food,positive
4,2534, where gabriela personal greets you and recommends you what to eat .,service,positive
5,583," for those that go once and do n't enjoy it , all i can say is that they just do n't get it .",anecdotes/miscellaneous,positive
6,2846," not only was the food outstanding , but the little perks ' were great .",food,positive
7,2846," not only was the food outstanding , but the little perks ' were great .",service,positive
8,1571, it is very overpriced and not very tasty .,food,negative
9,1571, it is very overpriced and not very tasty .,price,negative
10,1458, our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,food,positive
11,1458, our agreed favorite is the corrected with sausage and chicken ( usually the waiters are kind enough to split the dish in half so you get to sample both meats ) .,service,positive
12,3161," the bagels have an outstanding taste with a terrific texture , both chewy yet not gummy .",food,positive
13,2391, nevertheless the food itself is pretty good .,food,positive
14,296," they did not have mayonnaise , forgot our toast , left out ingredients ( ie cheese in an omelet ) , below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it .",food,negative
15,1793," it took half an hour to get our check , which was perfect since we could sit , have drinks and talk !",service,conflict
16,2200, the design and atmosphere is just as good .,ambience,positive
17,3195, he has visited thailand and is quite expert on the cuisine .,food,positive
18,3119, i would definitely recommend mary 's and am making it one of my regular neighborhood haunts .,anecdotes/miscellaneous,positive
19,3359, the pizza is the best if you like thin crusted pizza .,food,positive
20,70, my girlfriend and i stumbled onto this hopping place the other night and had a great time !,anecdotes/miscellaneous,positive
21,1829," he ca n't help , they 're bought up so fast .",anecdotes/miscellaneous,neutral
22,2935," secondly , on this night the place was overwhelmed by upper east side ladies perfume .",ambience,negative
23,1805," i have eaten here a handful of times , for no reason besides sheer convenience .",anecdotes/miscellaneous,neutral
24,2559, obviously run by folks who know a pie .,service,positive
25,716, we were very disappointed .,anecdotes/miscellaneous,negative
26,2464, it is definitely special and affordable .,anecdotes/miscellaneous,positive
27,2464, it is definitely special and affordable .,price,positive
28,385, i really liked this place .,anecdotes/miscellaneous,positive
29,1350, i will be going back very soon .,anecdotes/miscellaneous,positive
30,3534," all the money went into the interior decoration , none of it went to the chefs .",ambience,positive
31,3534," all the money went into the interior decoration , none of it went to the chefs .",food,negative
32,1407, the seats are uncomfortable if you are sitting against the wall on wooden benches .,ambience,negative
33,565," i asked for seltzer with lime , no ice .",food,neutral
34,387, it was pretty inexpensive too .,price,positive
35,1314, will not be back .,anecdotes/miscellaneous,negative
36,675," do n't go alone -- even two people is n't enough for the whole experience , with pickles and a selection of meats and seafoods .",food,positive
37,2227, my suggestion is to eat family style because you 'll want to try the other dishes .,food,neutral
38,3367," best of all is the warm vibe , the owner is super friendly and service is fast .",service,positive
39,3367," best of all is the warm vibe , the owner is super friendly and service is fast .",ambience,positive
40,1210, this is n't a value joint .,price,negative
41,2191, faan 's got a great concept but a little rough on the delivery .,anecdotes/miscellaneous,positive
42,2191, faan 's got a great concept but a little rough on the delivery .,service,negative
43,270," from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",food,positive
44,270," from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",service,positive
45,270," from the incredible food , to the warm atmosphere , to the friendly service , this downtown neighborhood spot does n't miss a beat .",ambience,positive
46,638," great food at reasonable prices , makes for an evening that ca n't be beat !",food,positive
47,638," great food at reasonable prices , makes for an evening that ca n't be beat !",price,positive
48,500, look foward to trying the ruben upon returning .,anecdotes/miscellaneous,positive
49,1108, the only other steakhouse that seems to hold a candle to roth 's is the strip house .,anecdotes/miscellaneous,neutral
50,3294, we usually go to the chart house to celebrate a birthday or anniversary .,anecdotes/miscellaneous,neutral
51,388, this little place has a cute interior decor and affordable city prices .,ambience,positive
52,388, this little place has a cute interior decor and affordable city prices .,price,positive
53,3070, you 'll adore it .,anecdotes/miscellaneous,positive
54,3373, two words : free wine .,price,positive
55,425, the price is reasonable although the service is poor .,service,negative
56,425, the price is reasonable although the service is poor .,price,positive
57,3192," the quantity is also very good , you will come out satisfied .",food,positive
58,1098, i have been to roth 's twice and both times were very disappointing .,anecdotes/miscellaneous,negative
59,2173, worth visiting the 1st ave spot because it is the original store .,anecdotes/miscellaneous,positive
60,391," i stumbled upon this second floor walk-up two fridays ago when i was with two friends in town from l.a. being serious sushi lovers , we sat at the sushi bar to be closer to the action .",anecdotes/miscellaneous,neutral
61,263," raga 's is a romantic , cozy restaurant .",ambience,positive
62,2384, the fried rice is amazing here .,food,positive
63,2962," three courses - choices include excellent mussels , puff pastry goat cheese and salad with a delicious dressing , and a hanger steak au poivre that is out of this world .",food,positive
64,3404, it 's a perfect place to have a amazing indian food .,food,positive
65,2599, the place is so cool and the service is prompt and curious .,service,positive
66,2599, the place is so cool and the service is prompt and curious .,ambience,positive
67,673, at the end you 're left with a mild broth with noodles that you can slurp out of a cup .,food,positive
68,648, i just wonder how you can have such a delicious meal for such little money .,price,positive
69,648, i just wonder how you can have such a delicious meal for such little money .,food,positive
70,863, the food was delicious but do not come here on a empty stomach .,food,conflict
71,1623, the wine list is excellent .,food,positive
72,2177, so gargantuan that you ca n't fit them in a toaster .,food,positive
73,430," ive been to many thai restaurants in manhattan before , and toons is by far the best thai food ive had ( except for my mom 's of course ) .",food,positive
74,1101, they wouldnt even let me finish my glass of wine before offering another .,service,positive
75,1823, i highly recommend the sophia pizza .,anecdotes/miscellaneous,positive
76,324," when asked , we had to ask more detailed questions so that we knew what the specials were .",service,negative
77,2783, this is a consistently great place to dine for lunch or dinner .,anecdotes/miscellaneous,positive
78,2983," nice atmosphere , the service was very pleasant and the desert was good .",food,positive
79,2983," nice atmosphere , the service was very pleasant and the desert was good .",service,positive
80,2983," nice atmosphere , the service was very pleasant and the desert was good .",ambience,positive
81,66, all the people that i bring there go back on their own and bring their friends !,anecdotes/miscellaneous,positive
82,627, after really enjoying ourselves at the bar we sat down at a table and had dinner .,anecdotes/miscellaneous,positive
83,3219," fabulous service , fantastic food , and a chilled out atmosphere and environment .",food,positive
84,3219," fabulous service , fantastic food , and a chilled out atmosphere and environment .",service,positive
85,3219," fabulous service , fantastic food , and a chilled out atmosphere and environment .",ambience,positive
86,2934, not what i wanted to hear .,anecdotes/miscellaneous,negative
87,2787, try the lorgnette appetizer .,food,positive
88,825," pricey , but worth a try , at least once .",price,negative
89,825," pricey , but worth a try , at least once .",anecdotes/miscellaneous,positive
90,197," i 've been there a few times , and i usually end up sitting next to some pretty odd people .",anecdotes/miscellaneous,negative
91,604, i liked the beer selection !,food,positive
