id,text,aspect,polarity
648,i just wonder how you can have such a delicious meal for such little money .,food,positive
3642,"the food is outstanding and the service is quick , friendly and very professional .",service,positive
386,"everything i had was good , and i 'm a eater .",food,positive
836,"besides , we were on vacation !",anecdotes/miscellaneous,neutral
2403,i have to say that if this what makes it easier to get a sat a lunch i dont mind .,anecdotes/miscellaneous,neutral
882,"while the ambiance and atmosphere were great , the food and service could have been a lot better .",service,negative
2424,"it 's true , this place is not cheap .",price,negative
2381,"but warning : to all those that use this site be weary , be very weary of recommendations .",anecdotes/miscellaneous,negative
2666,overall a disappointing experience for that price category .,price,negative
1066,other appetizers and food,food,neutral
1542,as we were sitting eating the subpar food the manager proceeded to berate a couple of his employees for putting out the wrong containers for condiments and explained to them how expensive these containers were .,food,negative
3021,we 've never had any problems with the staff but maybe we 've been lucky ?,service,positive
3566,this is where the aforementioned line was .,anecdotes/miscellaneous,neutral
648,i just wonder how you can have such a delicious meal for such little money .,price,positive
414,"average to good thai food , but terrible delivery .",service,negative
2689,"recommendations , of course , are required !",anecdotes/miscellaneous,neutral
2737,"the service is excellent , the decor is great , and the food is delicious and comes in large portions .",food,positive
2792,a real disappointment .,anecdotes/miscellaneous,negative
962,everyone that has ever come here with me has become a convert and returned regularly with their own friends .,anecdotes/miscellaneous,positive
3141,the service is a little scatty at times but all is forgiven when the food arrives .,food,positive
1831,"he always says , i do n't have customers .",anecdotes/miscellaneous,neutral
1933,threw my fiance 's surprise 30th birthday dinner here could n't be happier .,anecdotes/miscellaneous,positive
1550,"it 's constantly open , catering to the pakistani cabbies lined up on crosby st. , so there 's more turnover with the food than you 'd expect ( i.e. , surprisingly fresh ) .",ambience,positive
260,the filet mignon dish was superb !,food,positive
696,"i have eaten at saul , many times , the food is always consistently , outrageously good .",food,positive
394,"aside from the sea urchin , the chef recommended an assortment of fish including fatty yellow tail , boton shrimp , blue fin torro ( fatty tuna ) , sea eel , etc .",food,neutral
188,"over time , the food quality has decreased substantially , it is a lot less crowded than it used to , and the service must definitely be part of the reason .",service,negative
2284,the food is okay and the prices here are mediocre .,price,neutral
3040,"try ordering from the regular menu , then you would not regret !",food,positive
